tokens,tags,valid
Saya suka tempat wisata seperti dufan di Bandung,O O O O O B-CATEGORY O B-CITY,True
Ada rekomendasi masjid yang bagus di Jakarta,O O B-CATEGORY O O O B-CITY,True
Aku pengen ke masjid di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Apakah ada pulau yang murah di sekitar Bandung,O O B-CATEGORY O B-PRICE O O B-CITY,True
Berapa harga tiket masuk ke vihara di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari pulau di Jakarta yang harganya 100000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Rekomendasi tempat vihara di Semarang yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Aku lagi nyari toko di Semarang yang harganya gratis dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Apakah ada pusat belanja yang murah di sekitar Surabaya,O O B-CATEGORY I-CATEGORY O B-PRICE O O B-CITY,True
Aku lagi nyari masjid di Surabaya yang harganya gratis dan ratingnya 4.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari gunung di Bandung yang harganya gratis dan ratingnya 4.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari toko di Jakarta yang harganya 20000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Tempat pusat belanja di Bandung punya rating berapa,O B-CATEGORY I-CATEGORY O B-CITY O O O,True
Aku lagi nyari keraton di Yogyakarta yang harganya 50000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya ingin pergi ke gereja di Jakarta,O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari snorkeling di Semarang yang harganya 20000 dan ratingnya 4.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari air terjun di Semarang yang harganya gratis dan ratingnya 3.5,O O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku pengen ke theme park di Semarang ratingnya bagus gak ya,O O O B-CATEGORY I-CATEGORY O B-CITY O O O O,True
Ada rekomendasi taman bermain yang bagus di Surabaya,O O B-CATEGORY I-CATEGORY O B-RATING O B-CITY,True
Rekomendasi tempat theme park di Jakarta yang harganya sekitar 100000,O O B-CATEGORY I-CATEGORY O B-CITY O O O B-PRICE,True
Tempat mall di Bandung punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Apakah ada masjid yang murah di sekitar Bandung,O O B-CATEGORY O B-PRICE O O B-CITY,True
Saya ingin pergi ke batik di Yogyakarta,O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat plaza di Bandung yang harganya sekitar gratis,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Ada tempat pasar dengan rating 5.0 di Bandung,O O B-CATEGORY O O B-RATING O B-CITY,True
Berapa harga tiket masuk ke mall di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Saya ingin pergi ke pantai di Surabaya,O O O O B-CATEGORY O B-CITY,True
Saya ingin pergi ke keraton di Semarang,O O O O B-CATEGORY O B-CITY,True
Aku pengen ke batik di Yogyakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Aku lagi nyari vihara di Semarang yang harganya 100000 dan ratingnya 5.0,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya ingin pergi ke arena di Bandung,O O O O B-CATEGORY O B-CITY,True
Aku pengen ke pusat belanja di Surabaya ratingnya bagus gak ya,O O O B-CATEGORY I-CATEGORY O B-CITY O B-RATING O O,True
Berapa harga tiket masuk ke gereja di Bandung,O O O O O B-CATEGORY O B-CITY,True
Apakah ada klenteng yang murah di sekitar Semarang,O O B-CATEGORY O B-PRICE O O B-CITY,True
Ada tempat pantai dengan rating 4.0 di Surabaya,O O B-CATEGORY O O B-RATING O B-CITY,True
Aku lagi nyari hutan di Yogyakarta yang harganya 100000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Apakah ada hutan yang murah di sekitar Jakarta,O O B-CATEGORY O B-PRICE O O B-CITY,True
Tempat wahana di Semarang punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Ada rekomendasi gereja yang bagus di Yogyakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Rekomendasi tempat hutan di Yogyakarta yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Tempat batik di Jakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Saya suka tempat wisata seperti arena di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari snorkeling di Jakarta yang harganya gratis dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Berapa harga tiket masuk ke laut di Yogyakarta,O O O O O B-CATEGORY O B-CITY,True
Aku pengen ke pura di Jakarta ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O B-RATING O O,True
Ada tempat pulau dengan rating 4.0 di Jakarta,O O B-CATEGORY O O B-RATING O B-CITY,True
Rekomendasi tempat theme park di Semarang yang harganya sekitar gratis,O O B-CATEGORY I-CATEGORY O B-CITY O O O B-PRICE,True
Aku lagi nyari pasar di Semarang yang harganya gratis dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Tempat theme park di Bandung punya rating berapa,O B-CATEGORY I-CATEGORY O B-CITY O O O,True
Apakah ada theme park yang murah di sekitar Jakarta,O O B-CATEGORY I-CATEGORY O B-PRICE O O B-CITY,True
Aku pengen ke pulau di Semarang ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Apakah ada dufan yang murah di sekitar Semarang,O O B-CATEGORY O B-PRICE O O B-CITY,True
Berapa harga tiket masuk ke seni di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Berapa harga tiket masuk ke dufan di Yogyakarta,O O O O O B-CATEGORY O B-CITY,True
Saya ingin pergi ke pulau di Semarang,O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat museum di Surabaya yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Saya ingin pergi ke pantai di Bandung,O O O O B-CATEGORY O B-CITY,True
Rekomendasi tempat keraton di Jakarta yang harganya sekitar 20000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Aku lagi nyari gereja di Surabaya yang harganya 100000 dan ratingnya 3.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Apakah ada mall yang murah di sekitar Semarang,O O B-CATEGORY O B-PRICE O O B-CITY,True
Apakah ada pura yang murah di sekitar Surabaya,O O B-CATEGORY O B-PRICE O O B-CITY,True
Saya ingin pergi ke kapal di Semarang,O O O O B-CATEGORY O B-CITY,True
Apakah ada gunung yang murah di sekitar Semarang,O O B-CATEGORY O B-PRICE O O B-CITY,True
Rekomendasi tempat pasar di Semarang yang harganya sekitar 20000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Apakah ada gereja yang murah di sekitar Jakarta,O O B-CATEGORY O B-PRICE O O B-CITY,True
Saya ingin pergi ke pura di Semarang,O O O O B-CATEGORY O B-CITY,True
Ada rekomendasi masjid yang bagus di Jakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Berapa harga tiket masuk ke theme park di Surabaya,O O O O O B-CATEGORY I-CATEGORY O B-CITY,True
Aku pengen ke seni di Semarang ratingnya bagus gak ya,O O O B-CATEGORY O B-CITY O O O O,True
Saya suka tempat wisata seperti wahana di Yogyakarta,O O O O O B-CATEGORY O B-CITY,True
Saya ingin pergi ke arena di Yogyakarta,O O O O B-CATEGORY O O,True
Ada tempat gunung dengan rating 4.0 di Semarang,O O B-CATEGORY O O B-RATING O O,True
Aku lagi nyari arena di Surabaya yang harganya 50000 dan ratingnya 4.0,O O O B-CATEGORY O O O O B-PRICE O O O,True
Saya ingin pergi ke candi di Yogyakarta,O O O O B-CATEGORY O O,True
Saya suka tempat wisata seperti seni di Bandung,O O O O O B-CATEGORY O O,True
Ada tempat pusat belanja dengan rating 4.5 di Surabaya,O O B-CATEGORY I-CATEGORY O O B-RATING O O,True
Ada rekomendasi hutan yang bagus di Semarang,O O B-CATEGORY O O O O,True
Berapa harga tiket masuk ke vihara di Bandung,O O O O O B-CATEGORY O O,True
Saya suka tempat wisata seperti theme park di Bandung,O O O O O B-CATEGORY I-CATEGORY O O,True
Saya suka tempat wisata seperti toko di Bandung,O O O O O B-CATEGORY O O,True
Tempat hutan di Jakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Tempat mall di Yogyakarta punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Saya suka tempat wisata seperti masjid di Surabaya,O O O O O B-CATEGORY O B-CITY,True
Aku lagi nyari keraton di Semarang yang harganya 20000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada tempat batik dengan rating 4.5 di Yogyakarta,O O B-CATEGORY O O B-RATING O B-CITY,True
Aku lagi nyari taman bermain di Yogyakarta yang harganya 50000 dan ratingnya 5.0,O O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Aku lagi nyari masjid di Bandung yang harganya 100000 dan ratingnya 4.5,O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya ingin pergi ke hutan di Jakarta,O O O O B-CATEGORY O B-CITY,True
Ada rekomendasi masjid yang bagus di Bandung,O O B-CATEGORY O B-RATING O B-CITY,True
Apakah ada air terjun yang murah di sekitar Bandung,O O B-CATEGORY I-CATEGORY O B-PRICE O O B-CITY,True
Apakah ada seni yang murah di sekitar Surabaya,O O B-CATEGORY O B-PRICE O O B-CITY,True
Tempat seni di Semarang punya rating berapa,O B-CATEGORY O B-CITY O O O,True
Apakah ada keraton yang murah di sekitar Bandung,O O B-CATEGORY O B-PRICE O O B-CITY,True
Ada rekomendasi batik yang bagus di Bandung,O O B-CATEGORY O B-RATING O B-CITY,True
Saya suka tempat wisata seperti pantai di Jakarta,O O O O O B-CATEGORY O B-CITY,True
Ada rekomendasi keraton yang bagus di Jakarta,O O B-CATEGORY O B-RATING O B-CITY,True
Rekomendasi tempat plaza di Bandung yang harganya sekitar 20000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Rekomendasi tempat klenteng di Surabaya yang harganya sekitar 50000,O O B-CATEGORY O B-CITY O O O B-PRICE,True
Ada tempat air terjun dengan rating 4.5 di Surabaya,O O B-CATEGORY I-CATEGORY O O B-RATING O B-CITY,True
Aku lagi nyari kapal di Yogyakarta yang harganya 10000 dan ratingnya 5.0,O O O B-CATEGORY O O O O B-PRICE O O B-RATING,True
Aku lagi nyari masjid di Surabaya yang harganya 20000 dan ratingnya 4.5,O O O B-CATEGORY O O O O B-PRICE O O B-RATING,True
Lagi cari keraton di sekitar Bandung yang tiketnya 100000 dan penilaiannya oke,O O B-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi museum di Jakarta Harganya sekitar murah dan nilainya bagus,O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Pengen jalanjalan ke shopping center di Bandung budget tidak mahal rating minimal top,O O O B-CATEGORY I-CATEGORY O B-CITY O O O O O B-RATING,True
Lagi cari wahana di sekitar Yogyakarta yang tiketnya sedang dan penilaiannya bagus,O O B-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
Saya pengen ke mall yang ada di Yogyakarta kalau bisa yang 10ribu dan reviewnya lumayan,O O O B-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
Aku ingin pergi ke laut di Semarang dengan harga murah dan rating lumayan,O O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Pengen jalanjalan ke hutan lindung di Yogyakarta budget murah rating minimal top,O O O B-CATEGORY I-CATEGORY O B-CITY O B-PRICE O O B-RATING,True
Ada rekomendasi shopping center di Yogyakarta Harganya sekitar 10rb dan nilainya 4.0,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Saya pengen ke pusat perbelanjaan yang ada di Yogyakarta kalau bisa yang 10ribu dan reviewnya top,O O O B-CATEGORY I-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
diving di Bandung yang tidak mahal dan dapat rating oke itu apa ya,B-CATEGORY O B-CITY O O O O O O B-RATING O O O,True
Saya pengen ke vihara yang ada di Semarang kalau bisa yang 100000 dan reviewnya bagus,O O O B-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
Saya pengen ke taman hiburan yang ada di Bandung kalau bisa yang 10rb dan reviewnya sangat bagus,O O O B-CATEGORY I-CATEGORY O O O B-CITY O O O B-PRICE O O O O,True
Saya pengen ke pusat perbelanjaan yang ada di Yogyakarta kalau bisa yang mewah dan reviewnya bagus,O O O B-CATEGORY I-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
Aku ingin pergi ke pantai di Bandung dengan harga 10rb dan rating oke,O O O O B-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi pusat perbelanjaan di Bandung Harganya sekitar 10rb dan nilainya 4.5,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Ada rekomendasi wahana di Yogyakarta Harganya sekitar tidak mahal dan nilainya 4.5,O O B-CATEGORY O B-CITY O O O O O O B-RATING,True
Saya pengen ke masjid yang ada di Surabaya kalau bisa yang tidak mahal dan reviewnya top,O O O B-CATEGORY O O O B-CITY O O O O O O O B-RATING,True
Pengen jalanjalan ke kesenian di Yogyakarta budget 10ribu rating minimal 4.5,O O O B-CATEGORY O B-CITY O B-PRICE O O B-RATING,True
Tahu nggak snorkeling di Semarang dengan tiket mewah Ratingnya sih katanya lumayan,O O B-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Tahu nggak tempat ibadah di Surabaya dengan tiket murah Ratingnya sih katanya lumayan,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Aku ingin pergi ke taman nasional di Bandung dengan harga 10k dan rating bagus,O O O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O B-RATING,True
Tahu nggak gereja di Jakarta dengan tiket 10rb Ratingnya sih katanya top,O O B-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Saya pengen ke keraton yang ada di Jakarta kalau bisa yang mewah dan reviewnya 4.5,O O O B-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
Tahu nggak cagar alam di Bandung dengan tiket murah Ratingnya sih katanya 4.5,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Lagi cari wisata budaya di sekitar Jakarta yang tiketnya 10k dan penilaiannya 4.5,O O B-CATEGORY I-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
Lagi cari shopping center di sekitar Jakarta yang tiketnya tidak mahal dan penilaiannya 4.5,O O B-CATEGORY I-CATEGORY O O B-CITY O O O O O O B-RATING,True
Pengen jalanjalan ke pantai di Yogyakarta budget sedang rating minimal 4.5,O O O B-CATEGORY O B-CITY O B-PRICE O O B-RATING,True
Tahu nggak museum di Jakarta dengan tiket 10ribu Ratingnya sih katanya top,O O B-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Tahu nggak pura di Surabaya dengan tiket tidak mahal Ratingnya sih katanya oke,O O B-CATEGORY O B-CITY O O O O O O O B-RATING,True
Pengen jalanjalan ke mall di Yogyakarta budget 10ribu rating minimal 4.0,O O O B-CATEGORY O B-CITY O B-PRICE O O B-RATING,True
Tahu nggak taman bermain di Bandung dengan tiket 10ribu Ratingnya sih katanya 4.0,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Tahu nggak wahana di Semarang dengan tiket mewah Ratingnya sih katanya 4.0,O O B-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Tahu nggak wisata budaya di Bandung dengan tiket sedang Ratingnya sih katanya oke,O O B-CATEGORY I-CATEGORY O B-CITY O O B-PRICE O O O B-RATING,True
Lagi cari gereja di sekitar Semarang yang tiketnya 100000 dan penilaiannya bagus,O O B-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
Saya pengen ke shopping center yang ada di Surabaya kalau bisa yang 10rb dan reviewnya lumayan,O O O B-CATEGORY I-CATEGORY O O O B-CITY O O O B-PRICE O O B-RATING,True
Lagi cari taman bermain di sekitar Surabaya yang tiketnya 10rb dan penilaiannya 4.0,O O B-CATEGORY I-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
Lagi cari mall di sekitar Yogyakarta yang tiketnya 10rb dan penilaiannya bagus,O O B-CATEGORY O O B-CITY O O B-PRICE O O B-RATING,True
pura di Surabaya yang tidak mahal dan dapat rating 4.5 itu apa ya,B-CATEGORY O B-CITY O O O O O O B-RATING O O O,True
Pengen jalanjalan ke taman bermain di Bandung budget 10rb rating minimal bagus,O O O B-CATEGORY I-CATEGORY O B-CITY O B-PRICE O O B-RATING,True
tempat ibadah di Semarang yang murah dan dapat rating 4.5 itu apa ya,B-CATEGORY I-CATEGORY O B-CITY O B-PRICE O O O B-RATING O O O,True
